Time,ECG
2021-09-13 11:29:41.324910,4994
2021-09-13 11:29:41.324937,4970
2021-09-13 11:29:41.324948,4911
2021-09-13 11:29:41.324958,4867
2021-09-13 11:29:41.324967,4832
2021-09-13 11:29:41.324978,4786
2021-09-13 11:29:41.324987,4725
2021-09-13 11:29:41.324997,4685
2021-09-13 11:29:41.325006,4659
2021-09-13 11:29:41.325016,4610
2021-09-13 11:29:41.325026,4568
2021-09-13 11:29:41.325036,4536
2021-09-13 11:29:41.325045,4502
2021-09-13 11:29:41.325055,4472
2021-09-13 11:29:41.325064,4441
2021-09-13 11:29:41.325073,4414
2021-09-13 11:29:41.325083,4392
2021-09-13 11:29:41.325093,4347
2021-09-13 11:29:41.325103,4294
2021-09-13 11:29:41.325112,4242
2021-09-13 11:29:41.325122,4191
2021-09-13 11:29:41.325131,4120
2021-09-13 11:29:41.325140,4024
2021-09-13 11:29:41.325150,3931
2021-09-13 11:29:41.325160,3843
2021-09-13 11:29:41.325169,3774
2021-09-13 11:29:41.325180,3718
2021-09-13 11:29:41.325189,3662
2021-09-13 11:29:41.325199,3622
2021-09-13 11:29:41.548973,3591
2021-09-13 11:29:41.548994,3542
2021-09-13 11:29:41.549002,3500
2021-09-13 11:29:41.549008,3463
2021-09-13 11:29:41.549014,3429
2021-09-13 11:29:41.549021,3399
2021-09-13 11:29:41.549027,3358
2021-09-13 11:29:41.549034,3326
2021-09-13 11:29:41.549041,3301
2021-09-13 11:29:41.549047,3272
2021-09-13 11:29:41.549053,3245
2021-09-13 11:29:41.549060,3218
2021-09-13 11:29:41.549066,3181
2021-09-13 11:29:41.549072,3152
2021-09-13 11:29:41.549079,3123
2021-09-13 11:29:41.549085,3091
2021-09-13 11:29:41.549091,3049
2021-09-13 11:29:41.549098,3020
2021-09-13 11:29:41.549105,2995
2021-09-13 11:29:41.549111,2956
2021-09-13 11:29:41.549117,2927
2021-09-13 11:29:41.549124,2895
2021-09-13 11:29:41.549130,2861
2021-09-13 11:29:41.549136,2829
2021-09-13 11:29:41.549143,2797
2021-09-13 11:29:41.549149,2785
2021-09-13 11:29:41.549155,2782
2021-09-13 11:29:41.549162,2753
2021-09-13 11:29:41.549168,2723
2021-09-13 11:29:41.549174,2692
2021-09-13 11:29:41.818130,2640
2021-09-13 11:29:41.818161,2596
2021-09-13 11:29:41.818173,2562
2021-09-13 11:29:41.818182,2545
2021-09-13 11:29:41.818192,2523
