,0
0,-197
1,-182
2,-167
3,-155
4,-145
5,-141
6,-138
7,-131
8,-124
9,-116
10,-114
11,-116
12,-124
13,-126
14,-121
15,-126
16,-131
17,-133
18,-133
19,-128
20,-119
21,-111
22,-111
23,-114
24,-111
25,-104
26,-92
27,-82
28,-82
29,-85
30,-85
31,-87
32,-87
33,-80
34,-65
35,-63
36,-65
37,-72
38,-68
39,-53
40,-48
41,-53
42,-51
43,-58
44,-77
45,-77
46,-58
47,-53
48,-53
49,-48
50,-65
51,-82
52,-75
53,-80
54,-87
55,-85
56,-82
57,-70
58,-65
59,-77
60,-80
61,24
62,328
63,798
64,1046
65,479
66,-501
67,-676
68,-218
69,-145
70,-274
71,-189
72,-136
73,-177
74,-158
75,-128
76,-133
77,-124
78,-104
79,-107
80,-111
81,-126
82,-141
83,-131
84,-107
85,-97
86,-85
87,-75
88,-77
89,-80
90,-72
91,-70
92,-72
93,-77
94,-80
95,-68
96,-60
97,-60
98,-60
99,-68
100,-85
101,-99
102,-107
103,-107
104,-99
105,-90
106,-82
107,-75
108,-68
109,-53
110,-41
111,-38
112,-46
113,-46
114,-41
115,-38
116,-38
117,-38
118,-38
119,-43
120,-51
121,-48
122,-46
123,-41
124,-36
125,-38
126,-55
127,-70
128,-65
129,-51
130,-48
131,-51
132,-53
133,-51
134,-43
135,-38
136,-34
137,-31
138,-34
139,-31
140,-24
141,-19
142,-19
143,-26
144,-55
145,-75
146,-68
147,-46
148,-24
149,-14
150,-24
151,-55
152,-75
153,-72
154,-75
155,-77
156,-70
157,-65
158,-60
159,-55
160,-51
161,-31
162,87
163,433
164,966
165,1185
166,489
167,-498
168,-547
169,-102
170,-124
171,-248
172,-143
173,-116
174,-167
175,-141
176,-124
177,-141
178,-124
179,-102
180,-107
181,-94
182,-77
183,-77
184,-70
185,-55
186,-51
187,-41
188,-31
189,-36
190,-38
191,-38
192,-60
193,-97
194,-111
195,-109
196,-111
197,-107
198,-99
199,-102
200,-107
201,-111
202,-124
203,-133
204,-138
205,-136
206,-124
207,-116
208,-121
209,-119
210,-104
211,-94
212,-85
213,-75
214,-72
215,-75
216,-70
217,-63
218,-60
219,-63
220,-65
221,-72
222,-75
223,-75
224,-77
225,-72
226,-72
227,-104
228,-133
229,-119
230,-102
231,-104
232,-99
233,-99
234,-104
235,-97
236,-85
237,-85
238,-82
239,-85
240,-104
241,-116
242,-114
243,-97
244,-70
245,-60
246,-60
247,-63
248,-65
249,-75
250,-80
251,-77
252,-80
253,-80
254,-68
255,-58
256,-53
257,-48
258,-12
259,165
260,598
261,1080
262,931
263,-48
264,-666
265,-316
266,-51
267,-221
268,-223
269,-121
270,-153
271,-167
272,-124
273,-119
274,-116
275,-97
276,-87
277,-87
278,-80
279,-65
280,-48
281,-41
282,-41
283,-31
284,-29
285,-29
286,-26
287,-31
288,-41
289,-51
290,-60
291,-72
292,-75
293,-68
294,-63
295,-58
296,-63
297,-75
298,-82
299,-82
300,-92
301,-97
302,-87
303,-77
304,-77
305,-75
306,-65
307,-60
308,-58
309,-72
310,-97
311,-94
312,-82
313,-82
314,-80
315,-75
316,-80
317,-82
318,-80
319,-77
320,-72
321,-70
322,-70
323,-70
324,-82
325,-99
326,-92
327,-80
328,-85
329,-90
330,-80
331,-77
332,-77
333,-77
334,-77
335,-68
336,-46
337,-36
338,-26
339,-24
340,-41
341,-65
342,-80
343,-72
344,-63
345,-63
346,-55
347,-58
348,-68
349,-63
350,-21
351,150
352,557
353,1051
354,1014
355,131
356,-591
357,-347
358,-19
359,-155
360,-216
361,-116
362,-124
363,-148
364,-109
365,-94
366,-109
367,-104
368,-97
369,-97
370,-85
371,-72
372,-80
373,-104
374,-109
375,-87
376,-75
377,-80
378,-80
379,-87
380,-104
381,-97
382,-72
383,-85
384,-99
385,-85
386,-72
387,-82
388,-94
389,-94
390,-116
391,-155
392,-165
393,-148
394,-143
395,-143
396,-133
397,-119
398,-111
399,-111
400,-111
401,-107
402,-99
403,-94
404,-92
405,-94
406,-87
407,-82
408,-87
409,-87
410,-82
411,-80
412,-80
413,-77
414,-75
415,-70
416,-60
417,-55
418,-58
419,-58
420,-53
421,-55
422,-60
423,-68
424,-65
425,-38
426,-17
427,-7
428,2
429,-7
430,-26
431,-43
432,-55
433,-55
434,-46
435,-38
436,-38
437,-43
438,-41
439,-26
440,60
441,340
442,829
443,1165
444,688
445,-294
446,-518
447,-82
448,-48
449,-250
450,-197
451,-128
452,-165
453,-150
454,-111
455,-126
456,-150
457,-148
458,-133
459,-131
460,-131
461,-124
462,-124
463,-126
464,-124
465,-121
466,-116
467,-119
468,-133
469,-138
470,-136
471,-138
472,-143
473,-143
474,-136
475,-128
476,-114
477,-109
478,-114
479,-121
480,-133
481,-141
482,-136
483,-124
484,-111
485,-99
486,-92
487,-92
488,-85
489,-75
490,-70
491,-68
492,-70
493,-72
494,-68
495,-68
496,-77
497,-85
498,-90
499,-87
500,-82
501,-77
502,-72
503,-68
504,-65
505,-58
506,-58
507,-65
508,-55
509,-46
510,-53
511,-65
512,-65
513,-51
514,-21
515,-2
516,7
517,2
518,-24
519,-63
520,-92
521,-92
522,-90
523,-82
524,-72
525,-75
526,-72
527,-63
528,-17
529,221
530,717
531,1160
532,883
533,-121
534,-632
535,-243
536,-17
537,-180
538,-163
539,-65
540,-99
541,-109
542,-63
543,-51
544,-55
545,-53
546,-51
547,-43
548,-36
549,-26
550,-19
551,-12
552,-4
553,-2
554,2
555,7
556,2
557,-9
558,-14
559,-19
560,-31
561,-36
562,-29
563,-36
564,-58
565,-72
566,-82
567,-104
568,-121
569,-138
570,-158
571,-153
572,-136
573,-128
574,-119
575,-109
576,-107
577,-104
578,-97
579,-85
580,-75
581,-72
582,-77
583,-77
584,-77
585,-85
586,-94
587,-114
588,-141
589,-160
590,-153
591,-141
592,-143
593,-145
594,-148
595,-158
596,-150
597,-126
598,-107
599,-97
600,-77
601,-68
602,-72
603,-77
604,-77
605,-77
606,-75
607,-70
608,-60
609,-53
610,-48
611,-36
612,12
613,204
614,622
615,1126
616,1116
617,211
618,-566
619,-335
620,7
621,-124
622,-160
623,-53
624,-82
625,-116
626,-65
627,-46
628,-58
629,-48
630,-29
631,-19
632,-17
633,-14
634,-7
635,2
636,4
637,9
638,12
639,9
640,9
641,0
642,-21
643,-24
644,-19
645,-36
646,-53
647,-46
648,-36
649,-46
650,-53
651,-55
652,-77
653,-111
654,-121
655,-116
656,-111
657,-102
658,-92
659,-99
660,-97
661,-82
662,-75
663,-80
664,-94
665,-116
666,-124
667,-126
668,-138
669,-141
670,-138
671,-148
672,-155
673,-153
674,-148
675,-141
676,-133
677,-141
678,-148
679,-136
680,-126
681,-136
682,-148
683,-133
684,-114
685,-97
686,-80
687,-70
688,-82
689,-109
690,-121
691,-104
692,-87
693,-90
694,-87
695,-77
696,-82
697,-82
698,-46
699,109
700,506
701,1075
702,1245
703,455
704,-486
705,-418
706,-9
707,-109
708,-218
709,-111
710,-99
711,-133
712,-92
713,-63
714,-72
715,-68
716,-51
717,-41
718,-51
719,-72
720,-80
721,-77
722,-70
723,-63
724,-53
725,-43
726,-38
727,-48
728,-60
729,-58
730,-55
731,-70
732,-82
733,-68
734,-55
735,-58
736,-58
737,-65
738,-85
739,-97
740,-109
741,-138
742,-145
743,-126
744,-121
745,-121
746,-114
747,-109
748,-102
749,-94
750,-94
751,-94
752,-104
753,-121
754,-121
755,-107
756,-97
757,-102
758,-109
759,-109
760,-114
761,-121
762,-124
763,-114
764,-119
765,-133
766,-141
767,-141
768,-143
769,-148
770,-148
771,-126
772,-97
773,-92
774,-92
775,-77
776,-82
777,-102
778,-107
779,-102
780,-99
781,-87
782,-75
783,-77
784,-97
785,-114
786,-58
787,172
788,630
789,1124
790,997
791,21
792,-625
793,-282
794,-14
795,-201
796,-204
797,-94
798,-131
799,-148
800,-92
801,-80
802,-82
803,-63
804,-58
805,-60
806,-43
807,-26
808,-19
809,-14
810,-31
811,-60
812,-51
813,-31
814,-48
815,-85
816,-104
817,-109
818,-109
819,-104
820,-97
821,-90
822,-87
823,-92
824,-102
825,-102
826,-104
827,-114
828,-116
829,-111
830,-107
831,-99
832,-87
833,-77
834,-70
835,-68
836,-72
837,-77
838,-70
839,-65
840,-70
841,-70
842,-70
843,-72
844,-72
845,-72
846,-75
847,-72
848,-77
849,-87
850,-85
851,-77
852,-82
853,-90
854,-92
855,-97
856,-104
857,-107
858,-102
859,-102
860,-102
861,-109
862,-121
863,-111
864,-87
865,-65
866,-48
867,-41
868,-51
869,-63
870,-70
871,-65
872,-55
873,-53
874,-55
875,-55
876,-53
877,-46
878,-9
879,119
880,445
881,946
882,1155
883,476
884,-447
885,-445
886,-41
887,-126
888,-250
889,-128
890,-102
891,-143
892,-107
893,-85
894,-94
895,-77
896,-53
897,-48
898,-41
899,-29
900,-24
901,-14
902,-2
903,9
904,17
905,14
906,4
907,0
908,4
909,2
910,-4
911,-7
912,-14
913,-17
914,-4
915,2
916,-7
917,-21
918,-41
919,-58
920,-58
921,-53
922,-51
923,-46
924,-46
925,-48
926,-46
927,-43
928,-41
929,-38
930,-38
931,-43
932,-46
933,-41
934,-38
935,-46
936,-55
937,-63
938,-65
939,-63
940,-60
