,0,1,2
0,-1041,22,35
1,-1038,24,35
2,-1040,20,35
3,-1038,20,38
4,-1035,15,43
5,-1038,21,36
6,-1036,16,36
7,-1036,17,34
8,-1032,17,33
9,-1031,17,30
10,-1030,18,35
11,-1032,23,31
12,-1032,20,31
13,-1029,20,34
14,-1028,20,35
15,-1029,19,36
16,-1031,20,33
17,-1029,18,42
18,-1030,19,35
19,-1027,22,32
20,-1027,22,40
21,-1029,20,36
22,-1027,22,39
23,-1031,22,35
24,-1034,23,36
25,-1031,22,37
26,-1034,23,34
27,-1032,24,34
28,-1033,22,32
29,-1036,23,29
30,-1034,25,37
31,-1036,23,33
32,-1037,28,39
33,-1041,27,33
34,-1039,25,36
35,-1040,23,32
36,-1040,19,31
37,-1042,17,15
38,-1049,20,20
39,-1039,25,56
40,-1041,25,62
41,-1048,25,47
42,-1045,25,23
43,-1041,25,12
44,-1030,22,13
45,-1029,22,24
46,-1026,15,34
47,-1028,18,37
48,-1030,16,31
49,-1027,15,35
50,-1029,15,43
51,-1033,15,38
52,-1030,16,34
53,-1031,14,36
54,-1028,19,31
55,-1028,19,31
56,-1024,22,36
57,-1025,17,34
58,-1028,21,28
59,-1028,22,31
60,-1031,23,31
61,-1030,26,30
62,-1030,25,30
63,-1035,25,29
64,-1034,23,25
65,-1036,25,29
66,-1037,24,27
67,-1038,23,33
68,-1039,21,31
69,-1040,21,29
70,-1034,19,27
71,-1038,21,33
72,-1034,22,31
73,-1037,20,28
74,-1029,17,29
75,-1032,17,31
76,-1035,20,26
77,-1031,18,26
78,-1032,21,30
79,-1030,18,26
80,-1030,20,32
81,-1027,20,27
82,-1026,25,27
83,-1028,20,23
84,-1028,21,24
85,-1026,24,25
86,-1028,23,29
87,-1028,22,31
88,-1029,22,26
89,-1033,25,28
90,-1033,21,26
91,-1032,25,24
92,-1034,25,25
93,-1035,21,27
94,-1035,26,25
95,-1034,29,23
96,-1036,22,29
97,-1034,24,27
98,-1035,24,28
99,-1037,24,28
100,-1035,25,27
101,-1034,25,26
102,-1036,25,28
103,-1035,23,26
104,-1034,21,25
105,-1033,23,24
106,-1034,23,22
107,-1032,24,24
108,-1033,23,27
109,-1031,24,27
110,-1030,19,29
111,-1032,22,28
112,-1032,24,25
113,-1028,20,25
114,-1029,27,28
115,-1033,27,31
116,-1031,21,30
117,-1035,27,30
118,-1032,21,27
119,-1038,23,25
120,-1037,25,27
121,-1038,27,24
122,-1035,25,25
123,-1038,28,24
124,-1034,26,26
125,-1035,25,28
126,-1037,23,28
127,-1036,24,25
128,-1032,24,27
129,-1031,24,28
130,-1035,22,24
131,-1033,23,27
132,-1033,23,26
133,-1031,24,24
134,-1031,20,30
135,-1032,21,24
136,-1033,19,30
137,-1033,23,29
138,-1036,22,32
139,-1029,22,25
140,-1033,25,27
141,-1031,24,33
142,-1034,23,30
143,-1032,22,32
144,-1035,22,31
145,-1036,21,27
146,-1034,23,26
147,-1033,22,24
148,-1031,24,23
149,-1032,24,23
150,-1033,18,28
151,-1032,24,23
152,-1032,25,23
153,-1034,20,23
154,-1031,22,23
155,-1032,20,28
156,-1030,22,22
157,-1032,22,23
158,-1034,17,24
159,-1036,18,26
160,-1036,19,25
161,-1036,22,25
162,-1037,21,23
163,-1036,19,24
164,-1038,25,25
165,-1037,26,20
166,-1036,27,21
167,-1038,26,23
168,-1035,27,27
169,-1030,23,24
170,-1030,27,29
171,-1023,28,24
172,-1026,24,6
173,-1027,22,-7
174,-1026,23,0
175,-1026,24,32
176,-1031,16,60
177,-1034,10,59
178,-1039,16,37
179,-1040,14,10
180,-1028,15,13
181,-1026,19,20
182,-1024,20,24
183,-1024,17,22
184,-1028,20,21
185,-1030,23,13
186,-1035,26,16
187,-1031,26,20
188,-1029,26,18
189,-1024,24,15
190,-1022,27,14
191,-1022,25,26
192,-1023,29,28
193,-1030,28,31
194,-1031,29,23
195,-1037,29,27
196,-1042,29,28
197,-1044,30,22
198,-1044,27,29
199,-1045,25,25
200,-1044,22,31
201,-1041,22,25
202,-1039,23,26
203,-1040,21,27
204,-1040,21,28
205,-1036,20,25
206,-1036,20,21
207,-1033,22,20
208,-1030,19,20
209,-1031,21,19
210,-1026,25,20
211,-1025,21,20
212,-1027,24,20
213,-1028,19,27
214,-1027,22,27
215,-1028,24,22
216,-1029,26,30
217,-1024,25,23
218,-1026,25,23
219,-1030,26,24
220,-1029,24,25
221,-1032,27,25
222,-1032,25,27
223,-1031,27,26
224,-1036,26,26
225,-1034,26,23
226,-1039,23,25
227,-1037,22,26
228,-1037,26,26
229,-1037,30,27
230,-1038,30,28
231,-1039,27,29
232,-1041,29,28
233,-1039,25,22
234,-1044,23,21
235,-1046,21,9
236,-1041,25,12
237,-1038,30,48
238,-1043,27,55
239,-1042,22,33
240,-1042,22,10
241,-1034,25,5
242,-1023,24,10
243,-1022,21,21
244,-1022,16,26
245,-1024,17,25
246,-1029,17,19
247,-1029,21,23
248,-1029,20,26
249,-1030,21,22
250,-1032,25,25
251,-1024,20,21
252,-1025,20,24
253,-1025,24,25
254,-1028,24,28
255,-1033,23,29
256,-1033,27,23
257,-1036,25,26
258,-1034,26,28
259,-1037,25,25
260,-1038,22,23
261,-1038,24,20
262,-1035,24,25
263,-1038,22,25
264,-1042,24,23
265,-1037,21,23
266,-1038,18,22
267,-1034,19,24
268,-1034,20,31
269,-1032,19,31
270,-1032,20,24
271,-1033,22,20
272,-1029,23,28
273,-1032,23,22
274,-1032,22,23
275,-1028,25,23
276,-1033,21,23
277,-1031,20,24
278,-1035,21,21
279,-1031,22,25
280,-1028,19,19
281,-1030,19,22
282,-1033,24,23
283,-1034,20,22
284,-1032,24,23
285,-1035,22,24
286,-1033,23,23
287,-1037,24,25
288,-1041,23,20
289,-1040,28,22
290,-1038,27,30
291,-1038,27,28
292,-1037,24,26
293,-1036,22,26
294,-1032,25,27
295,-1035,25,25
296,-1036,21,30
297,-1036,23,28
298,-1036,24,27
299,-1032,26,30
300,-1033,26,29
301,-1032,22,23
302,-1031,25,23
303,-1031,26,25
304,-1031,23,25
305,-1030,21,27
306,-1032,21,30
307,-1032,21,26
308,-1032,20,24
309,-1032,23,25
310,-1029,19,25
311,-1031,22,26
312,-1029,21,23
313,-1031,23,21
314,-1032,22,23
315,-1037,25,20
316,-1035,23,20
317,-1041,29,21
318,-1041,25,21
319,-1040,29,23
320,-1035,23,20
321,-1039,27,22
322,-1041,27,25
323,-1036,22,25
324,-1038,17,30
325,-1039,23,27
326,-1034,21,25
327,-1029,22,24
328,-1031,19,26
329,-1028,21,33
330,-1027,21,27
331,-1030,20,29
332,-1033,21,30
333,-1031,21,28
334,-1030,22,28
335,-1029,20,28
336,-1033,27,28
337,-1035,26,29
338,-1034,25,31
339,-1033,25,27
340,-1036,24,28
341,-1035,23,25
342,-1034,22,28
343,-1030,23,23
344,-1031,23,26
345,-1035,29,20
346,-1032,26,23
347,-1030,23,23
348,-1032,24,22
349,-1032,25,24
350,-1033,23,20
351,-1032,24,20
352,-1031,23,21
353,-1033,20,24
354,-1035,23,26
355,-1035,25,27
356,-1037,22,26
357,-1037,23,27
358,-1038,25,24
359,-1039,21,26
360,-1037,22,22
361,-1037,22,26
362,-1034,28,24
363,-1033,27,31
364,-1034,23,27
365,-1032,26,32
366,-1028,27,30
367,-1029,23,18
368,-1028,24,-2
369,-1027,21,-6
370,-1033,20,23
371,-1033,17,60
372,-1036,14,76
373,-1042,16,50
374,-1042,16,22
375,-1040,19,9
376,-1031,22,17
377,-1022,21,33
378,-1023,18,33
379,-1029,22,20
380,-1031,22,14
381,-1032,26,16
382,-1032,26,22
383,-1028,24,17
384,-1029,25,18
385,-1023,24,15
386,-1025,22,25
387,-1024,25,30
388,-1028,26,31
389,-1033,23,31
390,-1039,22,27
391,-1042,28,24
392,-1044,29,20
393,-1044,24,21
394,-1045,27,19
395,-1042,23,22
396,-1043,24,30
397,-1042,22,26
398,-1044,20,27
399,-1043,21,25
400,-1040,20,27
401,-1039,19,24
402,-1037,23,22
403,-1032,21,20
404,-1032,23,19
405,-1032,22,22
406,-1031,17,22
407,-1030,20,23
408,-1028,17,23
409,-1030,21,25
410,-1028,21,32
411,-1029,20,25
412,-1028,23,28
413,-1026,24,26
414,-1030,23,25
415,-1029,19,24
416,-1033,23,27
417,-1031,24,24
418,-1033,24,23
419,-1035,23,28
420,-1034,24,28
421,-1036,25,26
422,-1039,27,27
423,-1038,26,28
424,-1040,26,25
425,-1037,29,29
426,-1039,29,25
427,-1039,23,25
428,-1035,27,26
429,-1038,24,20
430,-1038,25,19
431,-1038,23,5
432,-1040,17,24
433,-1039,27,55
434,-1042,25,54
435,-1042,23,31
436,-1041,19,11
437,-1033,24,4
438,-1025,21,7
439,-1023,18,20
440,-1026,15,28
441,-1028,21,21
442,-1033,17,19
443,-1032,16,24
444,-1032,18,28
445,-1033,23,21
446,-1034,20,18
447,-1029,22,22
448,-1027,24,19
449,-1030,27,27
450,-1026,25,27
451,-1033,25,25
452,-1039,23,29
453,-1040,26,27
454,-1036,27,31
455,-1037,27,26
456,-1039,21,24
457,-1041,24,30
458,-1042,20,21
459,-1043,20,22
460,-1042,21,22
461,-1042,20,27
462,-1042,22,25
463,-1042,17,29
464,-1039,19,28
465,-1034,20,26
466,-1035,22,26
467,-1035,20,25
468,-1036,23,21
469,-1031,21,23
