,0
0,-134
1,-137
2,-122
3,-101
4,-96
5,-89
6,-75
7,-66
8,-63
9,-68
10,-92
11,-127
12,-158
13,-163
14,-153
15,-146
16,-141
17,-125
18,-106
19,-42
20,212
21,645
22,874
23,390
24,-555
25,-834
26,-366
27,-160
28,-231
29,-141
30,-94
31,-139
32,-115
33,-87
34,-94
35,-75
36,-44
37,-40
38,-28
39,-11
40,-14
41,-26
42,-21
43,-4
44,-7
45,-11
46,4
47,30
48,59
49,92
50,111
51,111
52,108
53,120
54,125
55,101
56,56
57,-14
58,-96
59,-148
60,-170
61,-212
62,-260
63,-278
64,-276
65,-262
66,-248
67,-231
68,-210
69,-203
70,-210
71,-198
72,-170
73,-153
74,-141
75,-137
76,-165
77,-196
78,-189
79,-170
80,-165
81,-167
82,-200
83,-262
84,-267
85,-226
86,-215
87,-212
88,-205
89,-212
90,-210
91,-177
92,-160
93,-177
94,-193
95,-196
96,-182
97,-156
98,-127
99,-113
100,-120
101,-130
102,-132
103,-118
104,-96
105,-94
106,-96
107,-85
108,-78
109,-63
110,42
111,314
112,718
113,959
114,517
115,-418
116,-697
117,-219
118,-30
119,-134
120,-61
121,0
122,-37
123,-18
124,11
125,-2
126,-16
127,-16
128,-2
129,14
130,18
131,33
132,52
133,61
134,68
135,87
136,106
137,125
138,146
139,148
140,144
141,156
142,139
143,94
144,89
145,96
146,59
147,7
148,-40
149,-94
150,-137
151,-167
152,-198
153,-224
154,-234
155,-226
156,-212
157,-212
158,-255
159,-314
160,-323
161,-302
162,-302
163,-302
164,-302
165,-316
166,-321
167,-302
168,-288
169,-281
170,-271
171,-274
172,-281
173,-269
174,-250
175,-243
176,-234
177,-229
178,-234
179,-231
180,-215
181,-200
182,-182
183,-170
184,-170
185,-158
186,-139
187,-132
188,-139
189,-151
190,-174
191,-184
192,-160
193,-137
194,-130
195,-125
196,-101
197,18
198,335
199,754
200,879
201,271
202,-595
203,-633
204,-141
205,-70
206,-167
207,-78
208,-68
209,-153
210,-139
211,-85
212,-82
213,-80
214,-59
215,-54
216,-52
217,-33
218,-7
219,7
220,18
221,30
222,33
223,47
224,80
225,106
226,118
227,137
228,132
229,101
230,104
